Year,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP)
2000,Alabama,,51.60%,50.10%,,"1,672,551","3,241,682"
2000,Alaska,68.70%,68.10%,65.00%,"287,825","285,560","419,111"
2000,Arizona,46.40%,45.60%,40.20%,"1,559,520","1,532,016","3,357,701"
2000,Arkansas,,47.90%,46.00%,,"921,781","1,925,961"
2000,California,56.60%,55.70%,44.10%,"11,142,843","10,965,849","19,685,258"
2000,Colorado,,57.50%,53.70%,,"1,741,368","3,026,316"
2000,Connecticut,62.50%,61.90%,56.60%,"1,474,103","1,459,525","2,357,687"
2000,Delaware,,59.00%,54.90%,,"327,529","554,863"
2000,District of Columbia,,48.30%,43.90%,,"201,355","416,696"
2000,Florida,57.50%,55.90%,47.90%,"6,138,765","5,963,110","10,667,193"
2000,Georgia,47.60%,45.80%,42.40%,"2,684,951","2,583,208","5,639,668"
2000,Hawaii,44.60%,44.20%,39.90%,"371,113","367,951","832,642"
2000,Idaho,58.90%,57.20%,53.50%,"516,647","501,615","877,406"
2000,Illinois,58.50%,56.20%,51.40%,"4,932,192","4,742,123","8,432,600"
2000,Indiana,50.80%,49.30%,48.30%,"2,246,348","2,182,295","4,424,909"
2000,Iowa,,63.20%,59.60%,,"1,315,563","2,082,950"
2000,Kansas,56.70%,55.60%,54.00%,"1,092,716","1,072,216","1,927,950"
2000,Kentucky,53.10%,52.20%,50.40%,"1,568,058","1,544,107","2,955,628"
2000,Louisiana,56.70%,56.40%,54.20%,"1,776,133","1,765,656","3,130,267"
2000,Maine,,67.20%,66.40%,,"651,817","969,292"
2000,Maryland,55.80%,55.50%,51.00%,"2,036,455","2,025,480","3,649,631"
2000,Massachusetts,60.60%,59.90%,55.40%,"2,736,006","2,704,984","4,517,052"
2000,Michigan,60.50%,59.90%,57.30%,"4,279,299","4,232,501","7,070,702"
2000,Minnesota,70.10%,69.50%,66.40%,"2,458,303","2,438,657","3,506,432"
2000,Mississippi,,49.10%,47.80%,,"994,184","2,024,650"
2000,Missouri,,58.20%,56.20%,,"2,359,892","4,052,255"
2000,Montana,62.60%,61.60%,60.60%,"417,916","410,986","667,525"
2000,Nebraska,57.80%,56.90%,55.00%,"707,223","696,983","1,224,178"
2000,Nevada,45.60%,45.20%,40.20%,"613,360","608,970","1,346,116"
2000,New Hampshire,65.00%,63.90%,60.70%,"578,656","569,081","890,622"
2000,New Jersey,58.80%,56.90%,50.10%,"3,293,378","3,187,226","5,601,788"
2000,New Mexico,49.90%,48.50%,45.40%,"615,607","598,605","1,234,088"
2000,New York,56.20%,55.10%,47.50%,"6,960,215","6,821,999","12,380,208"
2000,North Carolina,52.50%,50.70%,47.50%,"3,015,964","2,911,262","5,744,241"
2000,North Dakota,61.10%,60.30%,59.70%,"292,249","288,256","477,968"
2000,Ohio,57.80%,56.70%,55.40%,"4,795,989","4,705,457","8,295,592"
2000,Oklahoma,,49.90%,48.00%,,"1,234,229","2,475,220"
2000,Oregon,65.90%,64.90%,59.10%,"1,559,215","1,533,968","2,364,402"
2000,Pennsylvania,,54.10%,52.30%,,"4,912,185","9,086,897"
2000,Rhode Island,54.70%,54.20%,50.70%,"412,074","408,783","753,877"
2000,South Carolina,48.70%,47.00%,45.70%,"1,433,533","1,382,717","2,944,326"
2000,South Dakota,58.70%,57.70%,56.90%,"322,159","316,269","548,498"
2000,Tennessee,50.50%,49.90%,48.10%,"2,100,241","2,076,181","4,162,996"
2000,Texas,49.20%,49.20%,42.40%,"6,407,637","6,407,037","13,033,081"
2000,Utah,54.80%,53.80%,50.30%,"784,582","770,754","1,431,668"
2000,Vermont,64.70%,64.10%,63.10%,"297,146","294,308","459,174"
2000,Virginia,55.00%,54.00%,50.90%,"2,789,808","2,739,447","5,069,265"
2000,Washington,61.40%,60.70%,56.20%,"2,517,028","2,487,433","4,098,044"
2000,West Virginia,,46.60%,46.10%,,"648,124","1,390,365"
2000,Wisconsin,,67.60%,64.50%,,"2,598,607","3,842,044"
2000,Wyoming,61.40%,59.20%,58.20%,"221,685","213,726","361,078"
2004,Alabama,57.40%,57.20%,55.20%,"1,890,317","1,883,415","3,292,608"
2004,Alaska,69.60%,69.10%,65.20%,"314,502","312,598","452,124"
2004,Arizona,54.80%,54.10%,47.00%,"2,038,069","2,012,585","3,717,055"
2004,Arkansas,54.40%,53.60%,51.00%,"1,070,573","1,054,945","1,969,208"
2004,California,59.60%,58.80%,47.10%,"12,589,367","12,421,852","21,132,533"
2004,Colorado,67.30%,66.70%,61.20%,"2,148,036","2,129,630","3,192,647"
2004,Connecticut,66.20%,65.00%,59.70%,"1,607,808","1,578,769","2,429,634"
2004,Delaware,64.50%,64.20%,59.40%,"377,407","375,190","584,817"
2004,District of Columbia,54.90%,54.30%,48.90%,"230,105","227,586","419,142"
2004,Florida,64.70%,64.40%,56.10%,"7,640,319","7,609,810","11,811,921"
2004,Georgia,56.40%,56.20%,50.00%,"3,317,336","3,301,875","5,878,186"
2004,Hawaii,48.50%,48.20%,44.10%,"431,662","429,013","889,540"
2004,Idaho,64.80%,63.20%,58.70%,"612,786","598,376","946,160"
2004,Illinois,62.40%,61.50%,55.70%,"5,350,493","5,274,322","8,576,696"
2004,Indiana,55.80%,54.80%,53.00%,"2,512,142","2,468,002","4,504,260"
2004,Iowa,70.60%,69.90%,67.40%,"1,521,966","1,506,908","2,156,389"
2004,Kansas,62.90%,61.60%,58.30%,"1,213,108","1,187,756","1,928,764"
2004,Kentucky,59.40%,58.70%,56.90%,"1,816,867","1,795,860","3,057,741"
2004,Louisiana,61.50%,61.10%,58.50%,"1,956,590","1,943,106","3,182,762"
2004,Maine,74.90%,73.80%,72.60%,"751,519","740,752","1,003,792"
2004,Maryland,63.10%,62.90%,57.20%,"2,395,791","2,386,705","3,797,264"
2004,Massachusetts,64.60%,64.20%,58.70%,"2,927,455","2,912,388","4,533,859"
2004,Michigan,67.10%,66.60%,63.90%,"4,875,692","4,839,252","7,263,024"
2004,Minnesota,78.80%,78.40%,73.90%,"2,842,912","2,828,387","3,609,185"
2004,Mississippi,,55.70%,54.20%,,"1,152,365","2,068,766"
